GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mvc,exercicemvc.Model,PrimaryModel,213,0,4,0,57,0,16,0,14,0
mvc,exercicemvc.Model.DAL.Sections,SectionDAO,242,0,16,0,96,0,15,0,7,0
mvc,exercicemvc.View,Section,344,0,0,0,50,0,10,0,10,0
mvc,exercicemvc.View,Main,280,0,7,0,69,0,20,0,15,0
mvc,exercicemvc.View,ViewFactory,25,0,3,0,5,0,4,0,2,0
mvc,exercicemvc.View,Status,344,0,0,0,50,0,10,0,10,0
mvc,exercicemvc.View,ViewConsole,193,0,20,0,56,0,26,0,15,0
mvc,exercicemvc,App,12,0,0,0,5,0,2,0,2,0
mvc,exercicemvc.Utilities,Utilities,28,0,6,0,9,0,5,0,2,0
mvc,exercicemvc.Model.DAL,DAOFactory,17,31,2,0,9,9,2,3,1,3
mvc,exercicemvc.Controller,Controller.new EventHandler() {...},20,0,0,0,3,0,2,0,2,0
mvc,exercicemvc.Controller,Controller,296,0,17,0,80,0,47,0,33,0
mvc,exercicemvc.Controller,Controller.new EventHandler() {...},12,0,0,0,4,0,2,0,2,0
mvc,exercicemvc.Controller,Controller.new EventHandler() {...},24,0,2,0,4,0,3,0,2,0
mvc,exercicemvc.Model.DAL.Status,StatusDAO,242,0,16,0,96,0,15,0,7,0
mvc,exercicemvc.Model.BL,Section,7,12,0,0,3,5,2,2,2,2
mvc,exercicemvc.Model.BL,Status,7,12,0,0,3,5,2,2,2,2
